time,ax,ay,az,atotal
17.724,0.44,-0.53,-1.22,1.40
17.734,0.29,0.22,-1.41,1.45
17.744,0.68,-0.40,0.33,0.85
17.753,0.01,-0.33,-0.06,0.34
17.763,-0.84,0.07,-1.28,1.54
17.773,-1.03,0.27,-0.33,1.11
17.783,-1.08,0.18,-1.68,2.00
17.793,1.43,-1.33,8.22,8.44
17.803,1.86,-0.60,9.24,9.45
17.813,-2.86,0.44,1.22,3.14
17.823,-3.04,2.93,0.71,4.28
17.833,-4.90,0.48,-1.87,5.27
17.843,-1.49,-1.91,-0.78,2.55
17.853,2.45,0.24,-0.87,2.61
17.863,3.38,2.14,-1.54,4.29
17.873,2.85,0.92,-0.83,3.11
17.883,3.16,-1.12,5.73,6.64
17.893,1.61,-1.47,1.55,2.68
17.903,-0.44,-1.17,-5.41,5.55
17.913,-0.75,-1.67,1.27,2.23
17.923,0.37,-0.20,1.19,1.27
17.933,0.99,-0.04,2.11,2.33
17.943,-0.93,-0.06,-2.74,2.90
17.953,-0.05,0.73,0.32,0.80
17.963,0.10,0.10,0.05,0.15
17.973,-0.00,0.07,0.00,0.07
17.983,0.04,0.09,-0.02,0.10
17.993,0.01,0.08,0.00,0.08
18.003,0.02,0.08,0.03,0.09
18.013,0.03,0.08,0.04,0.10
18.023,0.02,0.10,-0.03,0.10
18.032,0.03,0.10,-0.01,0.10
18.043,0.02,0.10,0.06,0.12
18.053,0.00,0.11,0.06,0.13
18.063,0.01,0.11,0.01,0.11
18.072,0.02,0.09,-0.04,0.10
18.082,0.01,0.10,-0.01,0.10
18.092,0.02,0.10,0.03,0.11
18.102,0.02,0.09,0.06,0.11
18.112,0.04,0.09,0.00,0.10
18.123,0.02,0.08,-0.01,0.09
18.132,0.03,0.08,-0.01,0.09
18.142,0.03,0.08,0.04,0.09
18.152,0.03,0.07,0.03,0.08
18.163,0.02,0.08,-0.01,0.08
18.172,0.03,0.07,0.01,0.08
18.182,0.01,0.08,0.02,0.09
18.192,0.01,0.07,0.03,0.08
18.202,0.02,0.07,0.03,0.08
18.212,0.02,0.07,0.02,0.08
18.222,0.03,0.07,-0.01,0.08
18.232,0.01,0.07,-0.02,0.08
18.242,0.02,0.09,0.02,0.09
18.252,0.01,0.09,0.02,0.09
18.262,0.01,0.07,-0.01,0.07
18.272,0.03,0.07,0.00,0.08
18.282,0.01,0.07,0.01,0.07
18.292,0.03,0.06,0.01,0.07
18.302,0.03,0.05,0.03,0.07
18.312,0.02,0.05,0.01,0.06
18.322,0.02,0.05,-0.00,0.06
18.332,0.01,0.06,0.00,0.06
18.342,0.01,0.08,0.03,0.08
18.351,0.00,0.07,0.02,0.07
18.362,0.02,0.06,0.01,0.06
18.371,0.01,0.06,0.02,0.06
18.381,0.00,0.06,0.00,0.06
18.391,-0.00,0.05,0.02,0.05
18.401,0.02,0.05,0.01,0.05
18.411,0.02,0.04,0.01,0.05
18.421,0.01,0.05,0.00,0.05
18.431,0.02,0.04,0.00,0.05
18.441,0.02,0.06,0.02,0.06
18.451,0.01,0.05,0.01,0.05
18.461,-0.00,0.05,-0.00,0.05
18.471,-0.01,0.07,0.02,0.07
18.481,0.00,0.05,0.01,0.05
18.491,0.01,0.04,0.01,0.05
18.501,0.01,0.04,0.01,0.05
18.511,0.00,0.04,-0.01,0.04
18.521,0.02,0.04,0.02,0.04
18.531,0.01,0.03,0.03,0.05
18.541,0.01,0.04,0.00,0.04
18.551,0.01,0.04,0.01,0.05
18.561,0.01,0.03,0.01,0.03
18.571,0.01,0.04,0.01,0.04
18.581,0.01,0.04,0.01,0.04
18.591,0.01,0.03,0.01,0.04
18.601,0.01,0.03,0.01,0.04
18.611,0.00,0.03,0.00,0.03
18.621,0.01,0.03,-0.00,0.03
18.631,0.01,0.05,-0.01,0.05
18.641,0.00,0.04,0.01,0.04
18.651,0.00,0.03,0.02,0.03
18.661,0.00,0.04,0.02,0.04
18.671,-0.00,0.04,0.01,0.04
18.680,0.01,0.04,0.02,0.04
18.690,-0.00,0.04,0.02,0.04
18.700,0.01,0.04,0.02,0.05
18.710,0.01,0.03,0.03,0.04
18.720,0.02,0.01,0.01,0.02
18.730,0.01,0.04,0.02,0.05
18.740,-0.01,0.03,0.03,0.04
18.750,-0.00,0.03,0.01,0.04
18.760,0.00,0.04,0.01,0.04
18.770,-0.00,0.03,0.01,0.03
18.780,-0.00,0.03,0.02,0.04
18.790,0.01,0.03,0.02,0.04
18.800,0.00,0.03,0.01,0.03
18.810,0.01,0.05,0.00,0.05
18.820,0.02,0.02,-0.00,0.03
18.830,0.01,0.02,0.01,0.03
18.840,0.01,0.03,0.02,0.03
18.850,0.01,0.04,0.00,0.04
18.860,-0.00,0.03,0.01,0.03
18.870,0.00,0.02,0.00,0.03
18.880,0.00,0.04,0.01,0.04
18.890,0.00,0.02,0.01,0.03
18.900,-0.00,0.04,0.02,0.04
18.910,0.01,0.03,-0.00,0.03
18.920,0.01,0.02,0.01,0.03
18.930,0.00,0.02,0.01,0.02
18.940,0.01,0.01,0.01,0.02
18.950,0.01,0.02,0.01,0.03
18.960,0.02,0.04,0.02,0.05
18.970,0.01,0.02,0.01,0.02
18.980,0.01,0.02,0.02,0.03
18.989,0.00,0.02,0.02,0.03
18.999,0.01,0.03,0.01,0.03
19.009,0.01,0.02,0.01,0.02
19.019,0.00,0.02,0.02,0.03
19.029,0.00,0.03,0.01,0.03
19.039,-0.01,0.01,0.00,0.02
19.049,0.00,0.02,0.02,0.03
19.059,-0.00,0.02,0.00,0.02
19.069,-0.01,0.03,0.02,0.04
19.079,0.01,0.02,0.02,0.03
19.089,0.01,0.02,0.03,0.04
19.099,0.01,0.01,0.02,0.02
19.109,0.00,0.03,0.01,0.03
19.119,0.01,0.02,0.02,0.03
19.129,0.01,0.02,0.02,0.03
19.139,-0.01,0.03,0.02,0.04
19.149,0.00,0.02,0.02,0.03
19.159,0.01,0.03,0.01,0.03
19.169,0.00,0.03,0.01,0.03
19.179,-0.00,0.03,0.01,0.03
19.189,0.00,0.03,0.01,0.03
19.199,-0.01,0.03,0.01,0.03
19.209,0.01,0.02,0.01,0.02
19.219,0.01,0.03,-0.00,0.03
19.229,0.00,0.01,0.01,0.02
19.239,0.00,0.01,0.00,0.01
19.249,0.00,0.01,0.01,0.01
19.259,-0.01,0.02,0.02,0.03
19.269,-0.01,0.02,0.01,0.03
19.279,0.01,0.02,0.01,0.03
19.289,-0.00,0.02,0.01,0.02
19.298,-0.00,0.02,0.02,0.03
19.309,0.01,0.03,0.00,0.03
19.318,0.01,0.02,0.02,0.03
19.329,0.00,0.02,0.02,0.03
19.338,0.01,0.01,0.00,0.02
19.348,0.02,0.01,0.01,0.03
19.358,0.01,0.01,0.01,0.01
19.368,0.01,0.01,0.01,0.02
19.378,0.01,0.03,0.00,0.03
19.388,-0.00,0.02,0.02,0.03
19.398,-0.01,0.01,0.01,0.02
19.408,0.00,0.03,-0.00,0.03
19.418,-0.00,0.03,0.00,0.03
19.428,0.00,0.02,0.01,0.03
19.438,-0.00,0.00,0.02,0.02
19.448,-0.00,0.01,0.00,0.01
19.458,0.01,0.01,0.01,0.02
19.468,0.00,-0.00,0.02,0.02
19.478,-0.00,0.01,0.01,0.01
19.488,0.02,0.02,0.02,0.03
19.498,0.01,0.02,0.01,0.02
19.508,0.01,0.02,0.02,0.03
19.518,0.01,0.02,0.01,0.03
19.528,0.00,0.02,0.01,0.02
19.538,-0.00,0.02,0.01,0.02
19.548,-0.00,0.02,0.01,0.02
19.558,0.00,0.02,0.01,0.02
19.568,-0.00,0.01,0.03,0.03
19.578,0.00,0.02,0.02,0.03
19.588,0.02,0.03,0.02,0.04
19.598,0.02,0.02,0.01,0.03
19.608,-0.01,0.01,0.02,0.02
19.618,0.01,0.01,0.01,0.02
19.627,0.00,0.01,0.02,0.02
19.638,-0.00,0.01,0.02,0.02
19.647,-0.00,0.01,0.01,0.02
19.657,-0.01,0.00,-0.00,0.01
19.667,-0.00,0.02,0.01,0.02
19.677,0.00,0.02,0.02,0.03
19.687,0.02,0.01,0.02,0.03
19.697,0.00,0.02,0.01,0.02
19.707,-0.01,-0.00,0.01,0.02
19.717,0.00,0.01,0.02,0.02
19.727,0.00,0.02,0.00,0.02
19.737,0.01,0.02,0.01,0.02
19.747,-0.00,0.01,0.01,0.01
19.757,0.01,0.02,0.02,0.03
19.767,0.00,0.01,0.02,0.02
19.777,0.00,0.02,0.00,0.02
19.787,-0.00,0.01,0.01,0.01
19.797,-0.00,0.01,0.01,0.01
19.807,0.01,0.01,0.01,0.01
19.817,0.00,0.01,0.00,0.01
19.827,-0.00,0.03,0.00,0.03
19.837,-0.00,0.02,0.01,0.02
19.847,-0.01,0.01,0.01,0.01
19.857,-0.00,0.01,0.02,0.02
19.867,-0.00,0.00,0.01,0.01
19.877,0.01,0.01,0.01,0.02
19.887,-0.01,0.01,0.02,0.02
19.897,-0.00,0.01,0.00,0.01
19.907,0.01,0.02,0.02,0.03
19.917,0.01,0.01,0.01,0.02
19.927,0.02,0.00,0.02,0.03
19.936,0.01,0.01,0.01,0.02
19.946,-0.01,0.00,0.01,0.01
19.956,0.00,0.00,0.01,0.01
19.966,-0.00,0.02,0.01,0.02
19.976,-0.01,0.01,0.02,0.03
19.986,0.00,0.00,0.00,0.01
19.996,0.01,0.02,-0.00,0.02
20.007,-0.01,0.00,0.00,0.01
20.016,0.01,0.01,0.01,0.02
20.026,0.02,0.02,0.01,0.03
20.036,0.01,0.01,0.02,0.02
20.046,0.01,0.01,0.01,0.02
20.056,0.00,0.02,0.02,0.03
20.066,0.02,0.01,0.01,0.02
20.076,0.00,0.01,0.02,0.02
20.086,0.00,0.00,0.01,0.01
20.096,0.01,0.01,0.01,0.02
20.106,0.01,0.01,0.01,0.02
20.116,0.01,0.01,0.01,0.02
20.126,0.01,0.02,0.02,0.03
20.136,0.01,0.01,-0.00,0.02
20.146,0.00,0.01,0.02,0.02
20.156,0.02,0.01,0.02,0.03
20.166,0.00,0.00,0.02,0.02
20.176,0.00,-0.00,0.02,0.02
20.186,0.00,0.00,0.01,0.01
20.196,-0.00,0.01,0.02,0.03
20.206,-0.00,0.00,0.02,0.02
20.216,0.01,0.01,0.01,0.01
20.226,0.01,0.01,0.01,0.02
20.236,0.01,0.01,0.02,0.02
20.246,-0.01,0.02,0.01,0.03
20.256,0.00,0.02,0.02,0.03
20.265,0.01,0.00,0.02,0.02
20.276,0.02,-0.01,0.00,0.02
20.285,-0.00,0.01,0.01,0.02
20.296,-0.00,0.01,0.02,0.02
20.305,-0.00,0.01,0.01,0.02
20.316,0.00,0.01,0.00,0.01
20.325,-0.00,-0.00,-0.00,0.00
20.335,-0.00,0.02,0.02,0.03
20.345,0.01,0.01,0.02,0.02
20.355,-0.01,0.01,0.01,0.02
20.365,-0.02,0.01,-0.00,0.02
20.375,-0.01,0.01,0.01,0.01
20.385,-0.00,0.01,0.02,0.02
20.395,0.01,-0.00,0.00,0.01
20.405,-0.00,0.00,0.01,0.01
20.415,0.00,0.00,0.00,0.01
20.425,0.00,0.01,0.02,0.02
20.435,0.00,0.01,0.01,0.02
20.445,0.00,0.01,0.00,0.01
20.455,0.01,0.01,0.01,0.02
20.465,-0.00,0.02,0.02,0.03
20.475,0.01,0.02,0.01,0.02
20.485,0.00,0.01,0.02,0.02
20.495,0.01,0.02,-0.00,0.02
20.505,0.01,0.02,0.02,0.03
20.515,-0.01,0.01,0.03,0.03
20.525,-0.00,0.01,-0.01,0.01
20.535,0.01,0.01,-0.00,0.01
20.545,-0.01,0.01,0.02,0.03
20.555,0.01,0.01,0.01,0.02
20.564,0.00,-0.00,0.01,0.01
20.575,-0.00,0.01,0.02,0.02
20.584,0.00,0.01,0.00,0.01
20.595,-0.00,-0.00,0.01,0.01
20.604,0.02,0.01,0.03,0.04
20.614,0.00,-0.00,0.03,0.03
20.624,0.00,0.00,0.01,0.01
20.634,0.01,0.02,0.02,0.03
20.644,0.01,0.01,0.01,0.02
20.654,0.01,0.01,0.02,0.02
20.664,-0.01,0.02,0.02,0.03
20.674,-0.00,-0.00,0.02,0.02
20.684,0.00,0.01,0.01,0.01
20.694,0.01,-0.01,0.01,0.01
20.704,0.02,0.01,0.03,0.03
20.714,0.02,0.00,0.01,0.02
20.724,0.01,0.00,0.02,0.02
20.734,-0.00,-0.00,0.02,0.02
20.744,0.01,0.01,0.01,0.02
20.754,0.00,0.00,0.01,0.01
20.764,0.01,0.00,0.01,0.01
20.774,0.01,0.02,0.03,0.03
20.784,0.01,0.01,0.02,0.02
20.794,0.00,0.01,0.02,0.02
20.804,0.02,0.01,0.02,0.03
20.814,0.01,0.01,0.02,0.02
20.824,0.01,0.01,0.01,0.02
20.834,0.00,-0.00,-0.00,0.00
20.844,0.00,-0.00,0.01,0.01
20.854,0.01,0.01,0.02,0.03
20.863,0.00,-0.00,0.01,0.01
20.874,-0.00,-0.01,0.02,0.02
20.883,0.01,0.01,0.01,0.01
20.894,0.00,0.01,0.00,0.01
20.903,-0.00,0.01,0.01,0.02
20.915,0.00,0.00,0.02,0.02
20.923,-0.00,0.01,0.01,0.01
20.933,-0.01,0.02,0.00,0.03
20.943,-0.00,0.01,0.01,0.02
20.954,0.01,0.01,0.01,0.02
20.963,0.01,0.00,-0.00,0.01
20.973,-0.00,0.00,0.00,0.01
20.983,0.00,0.01,0.01,0.02
20.993,0.00,0.00,0.01,0.01
21.003,-0.00,0.01,0.02,0.02
21.013,-0.00,0.01,0.00,0.01
21.023,-0.01,-0.00,0.03,0.03
21.033,0.02,0.01,0.01,0.02
21.043,0.01,0.02,0.02,0.03
21.053,-0.00,-0.01,0.02,0.02
21.063,0.02,0.00,0.01,0.02
21.073,0.01,0.01,0.01,0.02
21.083,0.01,-0.01,0.01,0.01
21.093,-0.00,-0.00,0.02,0.02
21.103,0.01,0.01,0.01,0.02
21.113,-0.00,0.00,0.01,0.01
21.123,-0.00,-0.00,0.02,0.02
21.133,0.01,0.00,0.01,0.01
21.143,-0.01,0.01,0.02,0.03
21.153,0.01,0.01,0.01,0.02
21.163,-0.01,-0.01,0.01,0.02
21.173,-0.01,-0.01,0.02,0.02
21.183,0.02,0.00,-0.01,0.02
21.193,0.00,0.01,0.01,0.02
21.202,-0.00,0.01,0.01,0.02
21.213,0.01,0.01,0.02,0.02
21.222,0.01,0.01,0.00,0.01
21.232,0.00,0.01,-0.00,0.01
21.242,0.00,0.01,0.01,0.01
21.252,-0.01,0.01,0.02,0.03
21.262,0.00,-0.00,0.02,0.02
21.272,0.00,0.01,0.02,0.02
21.282,0.01,0.00,0.00,0.01
21.292,0.00,0.01,0.03,0.03
21.302,-0.00,0.01,0.02,0.02
21.312,0.01,-0.00,0.02,0.02
21.322,-0.00,0.00,0.01,0.01
21.332,0.01,0.01,0.02,0.02
21.342,0.01,0.01,0.01,0.02
21.352,0.00,0.00,0.00,0.00
21.362,-0.00,0.01,-0.00,0.01
21.372,0.00,0.01,0.01,0.02
21.382,0.00,-0.00,0.01,0.01
21.392,0.01,-0.01,0.02,0.02
21.402,-0.01,0.01,-0.00,0.01
21.412,-0.01,0.00,0.02,0.02
21.422,0.02,0.01,0.01,0.02
21.432,-0.00,0.00,0.01,0.01
21.442,-0.00,-0.00,0.01,0.01
21.452,0.01,0.01,0.01,0.01
21.462,0.01,0.02,0.00,0.03
21.472,0.01,0.00,0.02,0.02
21.482,0.01,0.00,0.01,0.02
21.492,0.01,0.00,-0.00,0.01
21.501,0.00,0.00,0.01,0.01
21.512,-0.01,0.00,0.01,0.02
21.521,-0.01,-0.00,0.01,0.01
21.531,0.00,0.00,0.01,0.02
21.541,-0.01,0.00,0.01,0.02
21.551,0.01,0.00,0.02,0.02
21.561,-0.00,0.01,0.02,0.02
21.571,-0.01,0.02,-0.00,0.02
21.581,0.01,0.01,0.00,0.01
21.592,0.01,0.01,0.01,0.02
21.601,-0.00,0.01,0.01,0.01
21.611,0.01,0.01,0.00,0.01
21.621,0.01,-0.00,0.01,0.02
21.631,-0.01,0.01,0.02,0.03
21.641,-0.00,0.01,0.01,0.02
21.651,-0.01,0.01,0.01,0.02
21.661,-0.01,0.01,0.03,0.03
21.671,0.01,0.01,0.02,0.03
21.681,-0.00,0.01,0.02,0.02
21.691,0.01,0.01,0.01,0.01
21.701,0.00,0.01,0.01,0.02
21.711,0.00,0.02,0.01,0.02
21.721,0.01,0.00,0.01,0.01
21.731,-0.00,0.01,-0.01,0.02
21.741,0.01,0.01,0.01,0.02
21.751,0.00,0.00,0.02,0.02
21.761,-0.00,0.01,0.02,0.02
21.771,-0.00,0.01,-0.00,0.01
21.781,0.00,-0.00,0.02,0.02
21.791,0.01,0.02,0.02,0.03
21.801,0.00,0.01,0.00,0.01
21.811,-0.01,0.01,0.02,0.02
21.820,-0.00,0.01,0.02,0.02
21.831,0.01,0.00,0.03,0.03
21.840,0.00,0.01,0.01,0.02
21.851,0.01,-0.00,0.00,0.01
21.860,-0.00,0.01,-0.01,0.01
21.871,-0.01,-0.00,0.02,0.02
21.880,-0.00,0.01,0.01,0.02
21.890,0.00,0.01,0.01,0.02
21.900,-0.00,0.00,0.00,0.01
21.910,-0.00,0.01,0.00,0.01
21.920,0.00,0.00,0.02,0.02
21.930,0.01,-0.01,0.02,0.03
21.940,-0.00,0.00,-0.01,0.01
21.950,0.01,0.01,0.01,0.02
21.960,0.00,0.00,0.02,0.02
21.970,0.01,0.02,0.02,0.03
21.980,0.01,0.01,0.00,0.01
21.990,0.01,0.01,0.01,0.02
22.000,0.01,0.01,0.03,0.03
22.010,0.00,0.01,0.02,0.02
22.020,-0.00,0.01,0.01,0.01
22.030,-0.00,-0.00,-0.00,0.00
22.040,0.00,0.01,0.01,0.01
22.050,0.00,0.00,0.01,0.01
22.060,0.00,0.00,0.01,0.01
22.070,0.00,0.00,0.02,0.02
22.080,0.01,0.01,0.01,0.02
22.090,0.00,0.01,0.01,0.01
22.100,0.00,0.02,-0.00,0.02
22.110,-0.00,0.00,0.00,0.01
22.119,0.01,-0.00,0.02,0.02
22.130,-0.00,0.00,0.01,0.01
22.139,0.00,0.01,0.01,0.01
22.150,-0.00,0.01,0.02,0.02
22.160,-0.00,0.01,0.02,0.02
22.169,-0.01,0.00,0.01,0.01
22.179,-0.00,0.00,0.02,0.02
22.189,0.02,-0.00,0.02,0.03
22.199,-0.01,0.00,0.01,0.01
22.209,0.00,-0.00,0.01,0.01
22.219,0.01,0.01,0.01,0.01
22.229,0.01,-0.00,0.01,0.02
22.239,0.00,0.01,0.01,0.02
22.249,0.02,0.01,0.01,0.02
22.259,0.01,-0.00,0.02,0.02
22.269,0.00,-0.00,0.02,0.02
22.279,-0.01,-0.00,0.01,0.02
22.289,-0.01,-0.01,0.02,0.02
22.299,-0.00,0.00,0.02,0.02
22.309,-0.00,-0.00,0.01,0.01
22.319,0.00,0.01,0.01,0.01
22.329,0.02,0.01,0.01,0.03
22.339,0.01,-0.00,0.02,0.02
22.349,0.02,0.00,0.02,0.03
22.359,0.01,0.01,0.01,0.02
22.369,-0.00,0.01,0.01,0.02
22.379,0.01,0.00,-0.01,0.01
22.389,0.01,0.01,0.01,0.02
22.399,-0.01,-0.00,0.00,0.01
22.409,-0.00,0.01,0.02,0.02
22.419,0.00,0.00,0.02,0.02
22.429,0.01,0.01,0.02,0.02
22.439,0.01,0.01,0.01,0.02
22.449,0.00,0.01,0.02,0.03
22.458,-0.01,0.00,0.02,0.02
22.469,-0.01,-0.00,0.00,0.01
22.478,0.00,-0.00,-0.01,0.02
22.488,-0.00,0.01,0.02,0.02
22.498,-0.00,0.01,0.03,0.03
22.508,0.01,-0.01,0.01,0.02
22.518,0.01,-0.01,-0.00,0.02
22.528,-0.00,0.01,0.01,0.01
22.538,-0.00,0.00,0.02,0.02
22.548,-0.01,-0.01,0.02,0.02
22.558,0.01,0.00,-0.00,0.01
22.568,0.00,0.00,0.01,0.01
22.578,-0.00,0.03,0.03,0.04
22.590,0.00,0.00,0.02,0.02
22.598,-0.00,0.01,0.00,0.01
22.608,-0.00,0.01,0.02,0.02
22.618,-0.00,0.02,0.03,0.03
22.628,0.01,-0.00,0.01,0.02
22.638,0.00,0.02,0.02,0.03
22.648,-0.00,0.01,-0.01,0.02
22.658,0.01,0.01,-0.01,0.02
22.668,-0.00,0.00,0.02,0.02
22.678,0.00,0.01,0.02,0.03
22.688,-0.00,0.01,0.01,0.01
22.698,-0.01,0.01,0.02,0.03
22.708,-0.00,0.01,0.01,0.01
22.718,0.01,0.00,0.01,0.02
22.728,-0.00,-0.00,-0.00,0.00
22.738,-0.01,0.00,-0.00,0.01
22.748,-0.01,-0.00,0.01,0.01
22.757,-0.02,0.01,0.02,0.03
22.768,-0.00,0.01,0.02,0.02
22.778,-0.02,0.01,0.02,0.03
22.788,-0.01,0.01,0.00,0.01
22.797,-0.01,-0.00,0.00,0.01
22.807,0.00,0.02,0.02,0.02
22.817,0.01,0.02,0.00,0.03
22.827,0.01,0.02,0.01,0.02
22.837,0.02,0.01,0.00,0.02
22.847,0.02,0.01,0.01,0.02
22.857,0.01,0.02,0.01,0.03
22.867,0.02,0.02,0.01,0.03
22.877,0.01,0.00,-0.01,0.01
22.887,-0.00,0.00,0.01,0.01
22.897,-0.01,0.00,0.01,0.02
22.907,-0.02,-0.00,0.01,0.02
22.917,-0.00,-0.00,0.02,0.03
22.927,0.00,-0.01,0.01,0.02
22.937,-0.01,-0.02,0.00,0.02
22.947,-0.00,-0.02,0.00,0.02
22.957,0.01,-0.02,0.01,0.02
22.967,0.01,-0.01,0.02,0.02
22.977,0.00,-0.01,0.03,0.03
22.987,0.01,-0.01,0.01,0.02
22.997,0.00,0.01,0.01,0.02
23.008,0.01,0.01,0.01,0.02
23.017,0.01,0.02,0.02,0.03
23.027,0.00,0.03,0.01,0.03
23.037,-0.00,0.03,0.02,0.04
23.047,-0.00,0.03,0.01,0.03
23.057,-0.00,0.03,0.01,0.03
23.067,-0.00,0.03,0.00,0.03
23.077,-0.00,0.01,0.01,0.02
23.087,0.00,0.01,0.01,0.01
23.096,0.01,0.00,0.00,0.01
23.106,0.01,-0.00,-0.00,0.01
23.116,0.01,-0.00,0.01,0.01
23.126,0.01,-0.01,0.01,0.01
23.136,0.01,-0.01,0.01,0.02
23.147,0.01,-0.02,0.02,0.03
23.156,0.01,-0.01,0.00,0.02
23.166,-0.00,-0.01,0.01,0.01
23.176,-0.00,-0.01,0.01,0.01
23.186,-0.00,0.00,0.00,0.01
23.196,-0.01,0.00,0.01,0.01
23.206,0.01,0.02,0.01,0.02
23.216,-0.01,0.01,0.03,0.04
23.226,0.00,0.01,0.02,0.03
23.236,-0.00,0.01,0.01,0.02
23.246,-0.00,0.01,-0.00,0.01
23.256,0.01,0.02,0.02,0.03
23.266,0.02,0.01,0.02,0.03
23.276,-0.01,0.02,0.01,0.02
23.286,-0.00,0.02,0.02,0.03
23.296,-0.01,0.01,0.02,0.03
23.306,-0.00,0.02,0.02,0.03
23.316,-0.00,0.01,0.01,0.01
23.326,-0.00,-0.00,0.01,0.01
23.336,-0.01,-0.01,0.03,0.03
23.346,-0.00,0.00,0.01,0.01
23.356,0.00,-0.00,0.00,0.00
23.366,-0.01,-0.00,0.02,0.02
23.376,0.00,-0.01,0.01,0.02
23.386,-0.00,-0.02,0.03,0.03
23.395,0.00,0.00,0.02,0.02
23.405,0.01,-0.00,0.01,0.01
23.416,0.00,-0.00,0.01,0.01
23.425,-0.00,0.01,0.02,0.02
23.435,0.01,0.01,0.02,0.02
23.445,0.00,0.01,0.02,0.02
23.455,-0.01,0.03,0.02,0.03
23.465,-0.01,0.02,0.01,0.02
23.475,-0.02,0.02,0.02,0.03
23.485,-0.01,0.03,0.02,0.04
23.495,-0.01,0.02,0.01,0.03
23.505,0.00,0.02,0.02,0.02
23.515,0.01,0.01,0.01,0.02
23.525,-0.00,0.00,0.01,0.01
23.535,0.00,-0.01,0.01,0.02
23.545,0.00,-0.00,0.01,0.02
23.555,0.01,0.00,0.01,0.02
23.565,0.01,-0.01,0.02,0.02
23.575,0.01,-0.00,0.00,0.01
23.585,0.01,-0.01,0.01,0.02
23.595,0.00,0.01,0.02,0.02
23.605,-0.00,-0.00,0.01,0.01
23.615,-0.00,-0.00,0.01,0.01
23.625,0.00,0.02,0.01,0.02
23.635,-0.00,0.01,-0.01,0.01
23.645,-0.00,0.01,0.02,0.02
23.655,0.01,0.01,0.03,0.04
23.665,0.00,0.01,-0.01,0.02
23.675,-0.01,0.00,0.02,0.02
23.685,0.01,0.01,0.04,0.04
23.694,-0.00,-0.01,-0.01,0.01
23.705,0.00,0.00,-0.00,0.00
23.714,0.00,0.01,0.02,0.02
23.725,-0.00,0.01,0.02,0.02
23.734,0.01,0.00,0.00,0.01
23.745,0.00,-0.00,0.01,0.01
23.754,-0.01,0.01,0.02,0.02
23.764,0.01,0.01,0.01,0.02
23.774,-0.01,-0.01,-0.01,0.02
23.784,0.01,0.00,-0.00,0.01
23.794,0.01,0.00,0.02,0.02
23.804,-0.00,-0.00,0.03,0.03
23.814,0.02,0.00,0.03,0.04
23.824,0.00,-0.00,-0.01,0.01
23.834,-0.01,0.02,0.00,0.02
